Date,precipitation,temperature,relative humidity,wind speed
1990-01-01,0,35.72,32.19,6.47
1990-02-01,0,37.78,31.25,6.55
1990-03-01,21.09,38.72,34.81,8.21
1990-04-01,0,43.05,26.44,8.55
1990-05-01,163.48,40.2,61.06,12.24
1990-06-01,126.56,33.37,78.19,10.35
1990-07-01,116.02,32.33,77.62,11.57
1990-08-01,237.3,32.1,83.19,10.8
1990-09-01,94.92,29.68,84,8.18
1990-10-01,110.74,29.37,84.25,7.86
1990-11-01,0,30.94,76.62,7.18
1990-12-01,0,30.83,66.06,6.15
1991-01-01,0,6.47,44.94,6.47
1991-02-01,0,7.3,30.12,7.3
1991-03-01,0,8.33,29.06,8.33
1991-04-01,10.55,8.28,29.31,8.28
1991-05-01,0,9.71,25.94,9.71
1991-06-01,195.12,13.12,70.75,13.12
1991-07-01,131.84,11.98,82.12,11.98
1991-08-01,184.57,9.93,83.44,9.93
1991-09-01,137.11,6.11,80.25,6.11
1991-10-01,36.91,8,76.62,8
1991-11-01,26.37,7.95,73.38,7.95
1991-12-01,0,6.68,61.19,6.68
1992-01-01,0,33.32,43.69,6.7
1992-02-01,0,36.87,25.5,7.01
1992-03-01,0,41.37,18.88,6.7
1992-04-01,5.27,42.08,25.75,7.8
1992-05-01,42.19,43.34,31.31,9.69
1992-06-01,121.29,39.43,63,12.05
1992-07-01,110.74,33.1,76.94,11.34
1992-08-01,258.4,31.19,83.81,10.31
1992-09-01,89.65,29.54,81.38,9.31
1992-10-01,36.91,31.15,75.19,7.62
1992-11-01,79.1,31.37,74.06,7.85
1992-12-01,0,29.01,65.12,5.48
1993-01-01,0,34.55,40.19,5.3
1993-02-01,0,37.13,30.81,7.35
1993-03-01,0,40.23,29.81,7.24
1993-04-01,15.82,41.94,30.44,7.62
1993-05-01,10.55,43.94,28.88,10.05
1993-06-01,63.28,40.61,55.81,14.72
1993-07-01,174.02,33.68,76.31,10.95
1993-08-01,189.84,30.53,82.38,9.47
1993-09-01,126.56,29.97,84.62,7.96
1993-10-01,100.2,30.01,83.94,6.99
1993-11-01,0,30.14,70.88,9.14
1993-12-01,31.64,29.44,58.81,7.76
1994-01-01,10.55,32.94,56.25,6.27
1994-02-01,10.55,35.98,42.38,8.24
